商品属性,评价内容
小新Air 全金属高色域15.6英寸,屏幕效果：很棒，我很喜欢，散热性能：目前散热很好，而且风扇声音小，外形外观：这外观，我爱了爱了，其他特色：物流也很快啊，我真的超级爱京东，表白表白????
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,外形外观：在京东上看了很久，对比了很多款的笔记本，最终选择这款首发的小新pro14，拿到手很高兴，也很满意，高色域，高分辨率，高颜值，银色金属外壳，轻薄小巧时尚，携带方便，人脸识别，开机速度快，电脑运行流畅，风扇声音很小超静音，2.2k大屏幕超清晰。16G，固态硬盘512G，办公游戏足够，就是我喜欢的类型。京东物流速度也是很给力，付尾款后第二天就到货了，总体感觉很好。
小新Air 全金属高色域15.6英寸,刚拿到快递时看到包装有点生气，还好里面还有包装，电脑闪屏过一次，客服说更新驱动便可，用了两天没发现有什么毛病，就是还没能成功激活office
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,最新11代的酷睿 MX450显卡 外观简单大气，15.6的屏幕看着也舒服，屏幕清晰，综合来看，整体很棒，外观材质：金属机身，手感很棒，电脑性能：开机很快，还送word PPT office软件，工作也方便，散热性能：还不错，机身用久了也不怎么烫，其他：整体很薄，续航能力很优秀，充电很快。
小新Air 全金属高色域15.6英寸,运行速度：非常快，屏幕效果：屏幕非常清晰，用起来眼睛不难受，散热性能：散热不错，不用野兽模式发热不会猛，外形外观：全金属外壳，质感很好，轻薄程度：比我上一台笔记本电脑薄很多，这台很薄，其他特色：运行速度极快，指纹解锁反应非常快，运行软件基本没有卡顿，上网速度很快，15寸看电视和用CAD还是很舒服的，开机只要5秒左右，独立数字小键盘非常方便。，总的来说，Air 15 2021 i5版还是很不错的。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,电脑很好，足够我办公和玩一些小游戏了，屏幕分辨率也挺高的，唯一不足就是品控差，如果做工精细一点真的是完美了。
小新Air 全金属高色域15.6英寸,"运行速度：刚开始用挺快的，屏幕效果：光鲜亮丽，散热性能：应该还好吧，外形外观：轻薄，轻薄程度：棒棒哒，其他特色：没其他什么特色。非常喜欢这款电脑，是我想要的高性能轻薄本。这款电脑小巧精致，重量轻、携带方便；屏幕是雾面屏，使用后是防反光的，视觉效果非常好； CPU 是11代酷睿 i5，显卡是 MX450,性能十分优秀,可以带动市面上的游戏；内存16G ，十分强大，电池蓄电时间久，真的很棒，不亏是我选了很久的～"
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,京东自营快递送货及时，服务态度很好，收到联想笔记本电脑外包装完好无损，打开包装盒，电脑内部包装好，减防震护垫能起到很好的保护，打开电脑语音提示操作，方便简单，速度超快，喜欢笔记本电脑的可以放心购买这一款。大品牌，京东自营，值得拥有！
小新Air 全金属高色域15.6英寸,双十一之前预订的，买给弟弟学习用的，自己以前用的也是联想，用了差不多快六年了，除了电池坏了，其它都还好，比较信任联想；所以这次我选择联想，今天收到了，弟弟很喜欢，现在还在后续软件下载和office激活中，希望他用联想小新AIR15好好学习，也期望这台电脑能用的年限比我的联想还长。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,说的值得购买  独显挺好用 吃鸡可以开全高画质完美运行  反应挺快的 有一个特点是他有一个杜比音效 打游戏看电视听音乐音质感觉开和不开很明显杜比音效很好用  唯一一点不好就是没有带包的套装 如果想玩游戏又不想买游戏本就这个赶快下单.
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,运行速度：运行速度还可以，毕竟新电脑嘛，希望可以一直好下去，屏幕效果：屏幕挺清晰，挺好的，散热性能：散热风扇声音不是特别大，外形外观：就是看上了它的外观，小巧漂亮，轻薄程度：办公用携带方便，其他特色：别的还没发现
小新Air 全金属高色域15.6英寸,运行速度：挺快的，，屏幕效果：磨砂效果，喜欢。，散热性能：目前来看可以啊。，外形外观：好看，轻薄程度：薄薄的也很轻。，其他特色：总之就挺满意的……
小新Air 全金属高色域15.6英寸,电脑外观很不错，很喜欢，也比较轻便，简约大方，性能也够强悍，运行起来挺棒的，整体感觉很舒服，很流畅指纹解锁系统非常方便，总体感觉这波稳赚不亏
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,运行速度：速度非常流畅，比我预想中要好很多。，屏幕效果：颜色鲜艳，比我上一代笔记本显示出的色彩更细腻。，散热性能：散热性能优良。目前只用做日常办公，和auto cad看图，感觉还行。，外形外观：金属质感很强，，轻薄程度：又轻有薄。比我上一代笔记本更加轻薄。，其他特色：窄边框，全键盘，隐藏摄像头功能键盘简洁大方但又不失功能。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,??买了很长时间才来评价的，当时也是纠结了很久，到手后的感觉很不错，颜值真的在线的，也不是很重，是我喜欢的那种。物流也非常的快，我是晚上下单的，然后第二天下午就到了，快递很贴心在那边等我，而且当场开箱验货，服务很到位。(ps:我查了很久~，问了朋友，最后选择在京东旗舰店买的，确实感觉靠谱一点)。电脑自身的话，运行很快，散热也很好(看电视的时候哈，目前还没用来做别的?)，护眼模式也是很爱啦，就酱吧最后，我是造价专业，想用来学cad的，感觉很欧可，大家可以参考?
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,下单到收货时间比较久，用了几天，可能是今年中美贸易战的影响，芯片，显卡比较缺货，供应不上，送货比较慢，不过现在电脑使用也没那么急，之前犹豫了要买10代i7，价位也是5000多，一看这机器，CPU升级了，显卡也升级了，性能也不错，主要是没游戏本那么笨重。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,运行速度：开关机神速，方便极了，运行速度一流，流畅无卡顿。，屏幕效果：色彩柔和自然，清晰度高。，散热性能：散热性能极佳，长时间使用冷静如初。，背光键盘很好，不过带小键盘的键盘似与其他相比似乎有不舒服之处。，待机时间满电5小时，77%时显示3时12分，选择较长待机。要达到长待机估计要用超级省电。，疫情防控期间终于能收到，还是有惊喜。
小新Air 全金属高色域15.6英寸,运行速度：运行速度都可以的，好，屏幕效果：屏幕效果也很好，很清晰的，散热性能：散热功能还好，外形外观：外观好好看，轻薄程度：很轻轻薄，其他特色：用电还算慢
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,已经用了一段时间了，总体还不错，不是特别懂电脑，就不从专业角度评价了，买来就是平时办公，玩一玩LOL这种游戏，做一些简单的CAD，个人感觉完全够用了 ，要说优点，电脑待机时间可以，如果不是打游戏可以用很长时间，比起其他舍友的电脑散热特别好，开机挺快的，屏幕清晰度也还行，当然也有一些小问题，买上到现在蓝屏过一次，不过可能是使用的问题（下载了好多软件，连着用了七八个小时），有两次开机后鼠标控制不了桌面，问客服之后也及时解决了。总之，个人还是比较满意的，小问题有一些，但不影响使用。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,这是我近期买的第二个a15，一如既往的好，速度快，支持联想品牌，买的电脑包和鼠标都比较满意
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,一直信赖联想电脑。之前买的Y7000P来做游戏本。体验非常棒。现在工作需要，要买一台办公本，看了各个品牌办公本，但是都不喜欢，还是钟意联想。小新真的很有魅力，从外观到内在都很棒。屏幕效果很好，显卡更是MX450，商务游戏兼具。都不需要再拿出我的联想Y7000P了。开机速度极快。毫不卡顿。用起来体验真的超级棒。大爱联想。忠实用户！
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,运行速度：用来办公，平时不怎么打游戏，所以不会怎么卡。，屏幕效果：运气好抽到京东方的屏，没什么问题。，散热性能：还行，外形外观：不会留下指纹这点很好。，轻薄程度：对于15.6英寸的笔记来说，挺轻的。
小新Air 全金属高色域15.6英寸,运行速度：很快  不卡顿
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,小新air15颜值很高，运行速度也非常快，是全尺寸的笔记本电脑，有小键盘打字很方便，唯一一点不足就是usb接口可能有些问题，无法识别2T的移动硬盘，换了几次电脑也是如此，希望厂家做一些改进。
小新Air 全金属高色域15.6英寸,运行速度：超级赞，运行超快，完全不卡顿，屏幕效果：屏幕色域本来就高，看了一会儿演员请就位，超级过瘾。，散热性能：它会自己散热，我用了5个小时左右，都没有发热，外形外观：挺重的，不过很有质感啊，绝了！，其他特色：客服讲解超级耐心，售后有保障，轻薄程度：挺薄。
小新Air 全金属高色域15.6英寸,运行速度：这个开机速度非一般的感觉快，都不用等待，特喜欢，屏幕效果：屏幕特别大，适合我，散热性能：散热还是比较可以的，轻薄程度：特别轻便易拿
小新Air 全金属高色域15.6英寸,联想小新15代ⅰ5已经收到啦，是我第一次购买电脑，打开包装，它的外观就已经让我为之着迷。给我一种高气清新的感觉，运行，性能，手感都符合我的喜好，非常满意的一次购物，商家服务态度也特别的好呀，希望商家的生意越来越好，给你比心(*?′╰╯`?)?
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,笔记本比较轻薄，15.6寸正好适合办公用。开机速度快，使用手感好，科技感十足！指纹解锁，离开锁屏比较实用。价格来说也是年货节比较优惠的。期待小新未来与我为伴，一起加油，牛转乾坤！，外形外观：外观金属外壳显着高大上！
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,外形外观：15寸用起来很舒服，没有极端便携需求还是建议15寸，1.7kg重量带起来也不重，运行速度：够用，带了mx450显卡也能凑合玩一下游戏，没有游戏需求还是买锐龙的吧，比这款划算多了，其他特色：做功是真的差，一侧底盖完全鼓起来了，换货都点下去了，后来想想也不影响使用，而且也不保证换回来的一定是好机器，就算了
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,笔记本整体外观时尚潮流，轻薄小巧，方便携带，整体配置较为不错，显示屏细节清晰盈亮，对于我办公商务绰绰有余，银色版更显高端大气，全尺寸键盘独树一帜，方便我平时出差进行移动网站优化等需求操作。
小新Air 全金属高色域15.6英寸,运行速度：可以，轻薄程度：比较轻薄的 比我舍友的轻很多，屏幕效果：比较大 看电视很舒服，散热性能：好，外形外观：高端大气 很漂亮
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,运行速度：很快。好使，杠杠的，屏幕效果：15.6，看着舒服，，散热性能：散热挺好，一点也不卡顿，，外形外观：简约大气，银白色。好使，轻薄程度：挺轻的，背书包了一点也不觉得沉，其他特色：联想大品牌
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,下单联想小新15.6寸的笔记本电脑已经收到货了，特意用了几天才来评价的，感觉联系小新系列笔记本电脑还是很不错的。毕竟笔记本电脑联想品牌还是销量第一的。联想小新笔记本电脑也是很不错的。在京东上参考了好几天才下单的。目前感觉很不错。很好的。物流送货很快服务很好的。当天上午下单，下午就收到了，感觉京东物流真的是全国最棒的物流。好评好评好评好评！
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,电脑用了一段时间，各方面运行良好。开机时间由一开始6秒变成了现在的十几秒，貌似我也没有装什么软件啊。继续观察，希望一切都好。，运行速度：还行吧。，屏幕效果：屏幕很大，显示效果挺好。，轻薄程度：很薄，但是还是有点重的。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,以前一直都是在实体店买，这次选择了网上买，不光是正品，价格还实惠！?大品牌！值得信赖！效果超级好！贵有贵的道理！很棒的商品！?非常漂亮，做工精细，颜值担当，非常方便，?喜欢的朋友可以下手！?从没想过这么实惠的价格，?能买到这么好的宝贝，?性价比非常高，我很喜欢哦?商品质量不错，细节、品质、做工都非常好，发货贼快，快递也给力，棒棒哒~???
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,运行速度：运行速度很快i5处理器，一半情况下都是够用的，散热性能：散热方面做的也很好，声音不是很大。运行大一点的软件建议Fn＋Q开起性能模式，外形外观：外观很漂亮，银色外观，有一种说不上来的气质。，轻薄程度：之前用的游戏本很笨重不方便携带这才入手了这款。很轻便，整体很不错女生拿着也不会觉得重
小新Air 全金属高色域15.6英寸,六六六，送货贼快，凌晨下单，晚上到货，太nice了，笔记本也不错，非常OK，Air152021先买先香。联想六六六，客服态度很好。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,京东快递就是快，第二天就到了，电脑刚拿回来手感很好颜色也很喜欢
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,挺不错的希望能陪伴我大学生涯反应开机啥的很快玩cf啥的没压力风扇声音很小，跑分也还行我的屏幕京东方内存是镁光还有硬盘是海力士不错不错值得购买。就是怕插点那里的typec接口怕坏。great！
小新Air 全金属高色域15.6英寸,运行速度：快，屏幕效果：清晰流畅，散热性能：不错??，外形外观：简洁大方，轻薄程度：清薄，其他特色：性价比超高的一款电脑?
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,目前使用体验还是很不错的，除了有时候指纹识别不太灵敏，应该不是网络问题吧。金属边框，会有一点电流这基本上是通病。office是正版的，激活就能用，比~上的强多了。建议入手。大游戏就别想了。异……尽……。不知道打开是显示365系统是2019之间的关系是什么。
小新Air 全金属高色域15.6英寸,这款机器是一个11月份才上市的一个新品外形的话和嗯以前的小心杠幺五的外形是差不多的，但是它的材质明显的有了很大的提升机器用的是银色的珠光漆设计，然后表面是金属的，手感摸起来非常的好，屏幕的话用的是那种超窄边框的嗯，一直以来还用的山洞中隐藏的摄像头，屏幕的话也是那种百分之百色域设计。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,体验感很不错，到家就开始用啦，除了办公，平时还可以追剧和游戏，所以选了15.6的这款小新，目前使用很顺畅，运行速度快，大屏幕视觉效果非常棒，金属机身很有质感，轻薄度也很ok，作为一个女孩子，背着上下班（开车），这个重量也是可以接受的，买之前也对比了不少机型，最后选了这款外观性能价格综合体，性价比很高，推荐入手！！
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,元旦当天买的，用了半个月，各项体验都不错，15.6寸屏幕挺好，也不重，喜欢数字小键盘。
小新Air 全金属高色域15.6英寸,运行速度：非常流畅，当即下载了游戏，轻薄程度：颜值看的很高，好酷，其他特色：插口多，太舒适了！！！，屏幕效果：屏幕色调好喜欢
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,电脑外观很薄，开机速度非常快，15.6寸的大屏看着很舒服，摄像头有一个物理遮挡防偷看，第一次开机有语音提示，注册office的时候一开始不成功，后来把用户名从手机换成邮箱就成功了
小新Air 全金属高色域15.6英寸,运行速度：开关机和软件运行速度挺快的，屏幕效果：屏幕效果不错，侧角度看也很清楚。，散热性能：目前主要用来编辑文档和处理表格，所以还没有听到较为明显的散热噪音。，外形外观：银色外观太酷了！，轻薄程度：比我的旧笔记本薄太多了。
小新Air 全金属高色域15.6英寸,外观时尚漂亮，运行比我以前的联想电脑快多了。激活浪费了点时间，其他都挺顺利，京东价格实惠，送货速度快
小新Air 全金属高色域15.6英寸,双十一买的，周六送货，双休日不在家，刚刚正式拿到手，第一眼很薄，比原来那台商务本轻很多，也好看，就是那个屏保真的好丑。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,首发价买的  到手拆机很轻薄  手感很好  就是最初开机时 会有电流的声音 硬盘是海力士的可能不大满意  开机速度很快 质量很轻   中间有一次黑屏  但是关机后 就好了  无坏点  客服服务态度很好  中间有一次关不上机 咨询他们  他们进行了耐心解答  还有一次突然不受控制  自己弹出好多页面  关机后 自己也好了 总体不错
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,京东客户端网购平台真的很给力，不错?喜欢吖！
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,刚开始的时候我的同学都建议我买神舟电脑，但是我没钱就买了小新电脑，过程是忐忑不安的，不过到手后就豁朗开朗了。小新电脑非常好用，手感都非常好、性能都非常全、建议大家购买，不会让大家失望的。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,运行速度：运行速度：运行速度很快，比较流畅 屏幕效果：屏幕很清晰，看着舒服。，屏幕效果：屏幕效果：屏幕清晰，色彩鲜艳，散热性能：散热性能：散热效果非常好，很好 静音效果：声音很小。，外形外观：外形外观：外观漂亮，做工精细，不愧是联想大品牌 平时也就打打代码看看视频 质感没的说，PS：附带一张自己拍的特写镜头
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,目前来看  还不错 挺好的 性价比很高  继续使用观察一下   顶一下
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,外观很漂亮，这样的配置运行起来很快，家用及办公都足够了。
小新Air 全金属高色域15.6英寸,外形外观：好，运行速度：快，屏幕效果：好，散热性能：快，轻薄程度：薄，其他特色：打游戏也很顺畅 银色很好看 也不重
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,非常好，客服服务态度很好，物流两天就到了，很快。包裹也没有破损，是第一次使用联想的电脑，希望越做越好！，散热性能：打几个小时发热了，应该是正常的，轻薄程度：一个手就可以拿起来，很合适
小新Air 全金属高色域15.6英寸,双十一买的，送货速度很快，果然没有失望，各方面都测试了一下，挺好的，外观大气，也比较轻薄轻巧，外出办公携带方便。
小新Air 全金属高色域15.6英寸,选了很久的电脑，到处看攻略，但选来选去感觉这款更合适。平时办公，最怕的就是卡，现在使用感还不错，希望可以用很久。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,运行速度：挺快的，散热性能：好，，外形外观：是我喜欢的颜色，本身全金属的，摸着也很舒服，轻薄程度：我感觉适中叭，也没有很厚，其他特色：摄像头的设计很喜欢哦，可以把摄像头关掉，让我感觉很安全，屏幕效果：屏幕尺寸大小合适，效果不错
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,犹豫了好久的，这次主要也是因为王一博刚好代言了，同等价位当然选择联想呀。有款Pro一直没货，刚好这个到降价就果断买了。第一次用的时候开一个PS文件卡死了，问客服什么问题，他说让更新系统，我当时也没有，想是不是文件的问题，后来第二天打开其他的都挺快，那就是那个文件有问题了。用后给各位的建议就是平面设计完全没问题。
小新Air 全金属高色域15.6英寸,运行速度：真的可以，刚到手感觉十分不错，屏幕效果：觉 这个比小新14好不少，这个双十一入手的这款电脑是真的香，这鲁大师跑分属实有点夸张，但是这电脑在轻薄本中确实非常强劲，除了显卡外，别的都杠杠的，打个联盟真的是小菜，吃鸡也绝对没问题，物流速度是真的快，我晚上12点下单，第二天中午12点到了，正好12小时，这物流速度真的快的有点离谱，哈哈，反正这电脑我感觉真的挺香的
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,电脑颜值很棒，金属材质，质感很好～数字键盘设计很心水，分开打数字很是便捷，运行速度也很溜～必须赞一个～
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,运行速度：运行流畅，速度快。，屏幕效果：屏幕显示细腻。，散热性能：散热效果好。，外形外观：外形设计非常好看，看起来上档次。，轻薄程度：非常轻薄，而且非常轻，便于携带。，其他特色：特别喜欢这个笔记本。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,用了快一星期，使用起来非常的流畅，本人买的是i5＋max450显卡，平常打打联盟，玩一些网游还是很不错的，一些专业软件也能流畅运行。小键盘可以说是很舒服了，屏幕也够大，总之这款很满意的咯
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,?从没想过这么实惠的价格，?能买到这么好的宝贝，?性价比非常高，我很喜欢哦?不得不赞，质量真的好，包装物流也不错。真心喜欢，入手后不会让你后悔的！双11搞活动买的，外观和描述一致，美观实用，材质手感都不错，好评！这个真的太?了，?包装很精美，宝贝做工比较精细，商家特别好?，有问题都及时处理?，确实是一次相当满意的网购，还会再来的?
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,真不错是理想中的产品?，质量不错，物流也很快，值得点赞！
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,京东客户端网购平台很喜欢，不错?
小新Air 全金属高色域15.6英寸,机器外观，非常的轻薄，然后这个机器是11月10月份上市的一个新品，整个机型的配置的话都有明显的升级，十一带的cpu主频也是非常高的，可以达到两点式显卡的话，现在用的是按那个mx450 2G独立显卡，超窄边框设计。
小新Air 全金属高色域15.6英寸,运行速度：尽快，屏幕效果：超漂亮，散热性能：四五个小时没感觉到温度，外形外观：时尚，轻薄程度：还可以
小新Air 全金属高色域15.6英寸,运行速度：非常好，屏幕效果：清晰，散热性能：可以，外形外观：合适，轻薄程度：合适
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,屏幕效果：速度很快，轻薄程度：轻薄程度：很 轻薄，是我预想的，外形外观：商务风，符合我的审美
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,电脑已经到手半个月了（没有翻车），外观好看，也比较轻，出门带着很方便。搭载11代英特尔i5处理器性能不错，不过有时候风扇声音有点大其它的没什么问题。独立数字小键盘大学专业需要用到相当不错啦。买之前看了很久，买来检查了一下没有任何问题，激活office也很简单，质量还是可以的，推荐大家入手！
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,这电脑挺不错的，屏幕大体格小，重量适中，适合年轻人，学习办公
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,双十一给儿子买的礼物?，运行速度很快屏幕效果很清晰分辨率高，机身的散热效果不错，没有感到温度很高。银色金属外观很漂亮时尚大气！整体机身很薄，还给儿子配了一个小新的鼠标小巧精致！双十一零点付的尾款当天中午就送到了给力！
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,非常好的一次购物体验，让我刚收到了物有所值，真是太值了，建议大家可以买下试试，电脑流畅到飞起没话说！，运行速度：运行速度没得说绝对是电脑行业里数一数二的存在，全新11代i5处理器完全吊打一切老版本的电脑性能再加上全新款的max450独显比上一代显卡差点根本不是一点半点不在一个档次。，?非常值得推荐！真的是买笔记本的不二之选，配置、处理器、颜值、轻薄度来说没有什么笔记本能和它相提并论了。
小新Air 全金属高色域15.6英寸,运行速度：运行速度i5基本所有软件运行起来绝对没问题，屏幕效果：高色域屏这款电脑一直的配置，看电视剧电影什么的绝对没问题，电脑的音质也很不错，外形外观：新款aie15 2021三面全金属更加有档次而且重量也nice
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,买了一直没评价，没买过笔记本，第一次心里很忐忑，看了5天问了很多人和~的解说，最后选了小新，用了的感觉不错！这个配置还是不错的，蛮高的，i5性价比确实不错。可单手开合，指纹很灵敏，商店像手机一样，简单很多，运行不错，就是开始注册ofice有点慢，声音有点大！客服态度也很好，反复解说，帮忙！
小新Air 全金属高色域15.6英寸,这个笔记本运行速度非常流畅，屏幕效果超棒，散热性能也特别好，3档散热，作为一个轻薄本非常好。
小新Air 全金属高色域15.6英寸,舒服呀，大屏幕看起来就是舒服，高级的太空灰色，金属质感，颜值爱了，运行速度也很快！
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,外形外观：金属机身质感不错，散热性能：日常办公没感觉到烫，屏幕效果：屏幕素质很高，窄边框很喜欢，运行速度：16g内存全固态运行很快，内存频率也挺高站个五年不是问题，其他特色：性价比方面没得说，买到就是赚到
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,京东购买的电脑收货非常快，包装完整。打开后非常惊艳，外形外观相当漂亮，也很轻薄，打开机速度也是相当快，屏幕分辨率很高，非常清晰。色彩鲜艳，，运行速速度很快。非常值得购买。已经在京东买了两台电脑了，都非常满意。
小新Air 全金属高色域15.6英寸,轻薄程度：这是我买的第一台电脑超级爱，屏幕效果：屏幕真的是贼清晰，散热性能：电脑用了几个小时都么怎么热散热很好，外形外观：银色外观超级好看手感也很nice，运行速度：速度超级快就是我家网不好配不上这个电脑的速度
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,运行速度：挺快的，轻薄程度：很薄，重量也轻，屏幕效果：不错，散热性能：比较一般，风扇声音还是挺明显的。，外形外观：颜值可以说很高了。，其他特色：这个数字小键盘是真的方便，接口挺少的，不过还行吧。总体还是不错的。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,运行速度：很快，屏幕效果：超级清晰，外形外观：很好看
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,"机器很不错，本来是等14pro的，一直没有货，双十一入手了Air15,优点屏幕更大看起来舒服，有小键盘这个很好，最好的就是，有HDMI接口这个开启会来真的是太棒了。拓展坞确实能解决，但能直接不多搞几部体验好的多。，充电器如果能是华为或苹果那种就太好了，现在的确实有些傻大黑粗，不过外置的以后自己换也还行。"
小新Air 全金属高色域15.6英寸,第一次买笔记本电脑  联想这个品牌果然没有让我失望，颜值杠杠的小巧方便运行速度很快 ！
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,响应挺快的（节能模式响应就慢了，懂得都懂?），没有出现过蓝屏，65w的充电器充电速度快，玩游戏体验也挺好，吃鸡能流畅运行（ping比较高100左右），指纹解锁快（有的时候第一次触摸没解锁，然后就不识别了，不知道咋回事）。我用迅雷下载最快30m/s（没开会员啥的，连的5g频段WIFI）。还有圆孔可以插耳机，充电口也能插type-c口耳机。整体还算不错吧。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,笔记本电脑很喜欢。用的很顺手。给满分。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,这个笔记本还是很不错的，联想预售款，处理器是因特尔11代I5处理器，外观也很不错，孩子很喜欢。买了自己喜欢的贴纸，贴的很漂亮。用着也可以，不卡顿。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,外形外观：还可以，运行速度：能玩原神，屏幕效果：还可以 但是不如2k 屏幕清晰，散热性能：完全不热 散热蛮不错的，不会烫手，第一台笔记本电脑 买来听课，希望能顺利考上研究生
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,很好(?▽?)，颜值很不错，运行速度也很不错
小新Air 全金属高色域15.6英寸,15.6寸的大笔记本电脑，拿到手里比预想的轻，air15换了金属壳后质感和手感都不错，做工也还算精致，i5加固态加独显的配置，速度肯定没的说，希望这台本本在长期使用中一直表现良好。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,这款笔记本属于今年的新款，性价比很高，整体效果外观来说的话也是很漂亮的，它的运行速度的话也是非常的快，那么属于独立显卡，显示效果呀，对这个游戏的运行呢，这方面都是非常的流畅，打开试用之后整体也是非常的满意的，嗯，就是希望能够在以后的使用当中，有更多更好的一些感受吧，嗯，价格来说的话，很对得起它的硬件所配置，性价比很高的，作为这样的大品牌也是值得我们新来的中国人就应该用我们的自有品牌商品，但是摆在支持我们国产品牌，希望我们国产品牌越做越好
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,运行速度：还可以，外形外观：本人是一名师范生 刚好看中外观选择入手了，轻薄程度：还可以 挺薄的了，屏幕效果：主要用于看课 追剧用 大屏幕甚是喜欢
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,京东买东西就是放心之前买了一款14寸锐龙版的效果杠杠滴运行速度挺不错多开办公软件不卡office流畅性价比高这次15寸新款上市买个英特尔版的来吃鸡应该不错的屏幕够@彩显示不错柔和不刺眼整体机身金属面板高端唯一那啥就是天气冷的时候摸上去很冷啊啊啊啊啊
小新Air 全金属高色域15.6英寸,外形外观：银白色很好看，运行速度：很快，产品非常满意，刚开始选电脑自己在网上做了很多功课，看见很多人推荐这一款，说是性价比高，实物给我的感觉还是还不错的，客服小姐姐（小哥哥）的服务态度也很好。
